Entity;Year;Technology cost;;;;;;;;;;;;
Wind turbines;2010;2272;;;;;;;;;;;;
Wind turbines;2011;2247;;;;;;;;;;;;
Wind turbines;2012;2114;;;;;;;;;;;;
Wind turbines;2013;2183;;;;;;;;;;;;
Wind turbines;2014;2104;;;;;;;;;;;;
Wind turbines;2015;1911;;;;;;;;;;;;
Wind turbines;2016;1915;;;;;;;;;;;;
Wind turbines;2017;1917;;;;;;;;;;;;
Wind turbines;2018;1819;;;;;;;;;;;;
Wind turbines;2019;1725;;;;;;;;;;;;
Wind turbines;2020;1552;;;;;;;;;;;;
Wind turbines;2021;1471;;;;;;;;;;;;
Wind turbines;2022;1322;;;;;;;;;;;;
Wind turbines;2023;1160;;;;;;;;;;;;
